flags,instruction,category,intent,response,stratify_group,noisy_text,onnx_prediction,onnx_confidence
BKLZ,new {{Account Category}} acount for wife,ACCOUNT,create_account,"What a thoughtful gesture to create a new {{Account Category}} account for your wife! I'm here to guide you through the process and ensure that she receives the utmost benefits and privileges of being a {{Account Category}} account holder. To get started, could you please provide me with your wife's full name, email address, and a preferred username? Once I have these details, I'll assist you further in creating her new {{Account Category}} account.",ACCOUNT|||create_account,new {{Account Category}} acount for wife,4,0.43917179107666016
B,help me creating a freemium account,ACCOUNT,create_account,"Appreciate your message and expressing your interest in creating a freemium account! I'm here to assist you every step of the way. To get started, could you please provide me with your full name, email address, and a preferred username? Once I have these details, I'll guide you through the process of creating your freemium account, ensuring that you have all the assistance you need. Rest assured that your privacy and security are of utmost importance to us, and your information will be handled with the utmost care.",ACCOUNT|||create_account,help me creating a freemium acount,2,0.36416032910346985
BLQ,i have a probem with opening a {{Account Category}} acount,ACCOUNT,create_account,"I'm sorry to hear that you're facing difficulties in opening a {{Account Category}} account. Our aim is to ensure a seamless experience for you, so rest assured, I'm here to assist you in resolving this issue. To better understand the problem, could you please provide me with specific details about the challenge you're facing? Whether it's an error message, confusion about the process, or any other concern, sharing these details will allow me to provide you with the most effective solution. Together, we'll work towards getting your {{Account Category}} account open smoothly.",ACCOUNT|||create_account,i have a probem with opening a {{Account Category}} acount,1,0.7205889225006104
BCLQ,i aint registered yet assistance creating a {{Account Type}} account,ACCOUNT,create_account,"Thanks for dropping us a line to us for assistance in creating a {{Account Type}} account. I'm here to guide you through the process. To get started, could you please provide me with your full name, email address, and a preferred username? Once I have these details, I'll ensure a smooth and seamless account creation experience for you. Rest assured that your personal information will be treated with the utmost care and security. Let's begin your journey to a {{Account Type}} account!",ACCOUNT|||create_account,i aint registered yet assistance creating a {{Account Type}} acount,1,0.615210235118866
BKL,open pro account for wife,ACCOUNT,create_account,"Thank you for your interest in opening a {{Account Type}} account for your wife! We value your trust in our services, and I'm here to guide you through the process step by step. To initiate the account creation, could you please provide your wife's full name, email address, and a preferred username for her account? I want to assure you that her security and privacy are of utmost importance to us, and we will handle her information with the utmost care. Feel free to ask any questions along the way, as I'm here to assist you. How does this sound?",ACCOUNT|||create_account,open pro acount for wife,4,0.8205320239067078
BEQ,i do not know how to create a {{Account Category}} account,ACCOUNT,create_account,"Not to worry! I'm here to guide you through the process of creating a {{Account Category}} account. To start, you can visit our website or download our app and look for the option to sign up or create an account. Typically, you'll be asked to provide your personal information like your name, email address, and a password. Once you've entered this information, you'll be able to select the {{Account Category}} account option. If you encounter any difficulties along the way, feel free to reach out to our customer support team, who will be more than happy to assist you at any stage. Let's get started on this exciting journey together!",ACCOUNT|||create_account,i do not know how to create a {{Account Caegory}} account,1,0.7265945076942444
BCILNW,I don't have a bloody standard acount can I open one?,ACCOUNT,create_account,"Indeed! We're here to assist you in opening a standard account. Your enthusiasm is much appreciated! To begin the process, we need a few details from you. Could you please provide your full name, email address, and a preferred username? Once we have this information, our team will guide you through each step, ensuring you feel supported and informed at all times. Security and privacy are paramount to us, so rest assured that your personal information will be handled with the utmost care. Let's get started on creating your standard account",ACCOUNT|||create_account,I don't have a bloody standard acount can I open one?,1,0.7117098569869995
BKL,create new {{Account Type}} account for daughter,ACCOUNT,create_account,"How wonderful that you want to create a {{Account Type}} account for your daughter! We offer a range of account options suitable for children. To proceed with the account creation, we will need some details. Could you please provide your daughter's full name, date of birth, and your contact information? Rest assured that we prioritize the security and privacy of our customers, including our youngest ones. Once we have the necessary information, we will guide you step-by-step through the process to create the account for your daughter. Feel {{Account Type}} to ask any questions or share any specific preferences you may have. We look forward to helping you create an account tailored to your daughter's needs and ensuring a smooth experience for you both.",ACCOUNT|||create_account,create new {{Account Type}} account for daughtr,1,0.829089343547821
BKL,another premium account for father,ACCOUNT,create_account,"That's wonderful to hear that you are interested in creating another premium account for your father! We appreciate your trust in our services. To proceed with creating the account, may I kindly request the following information: your father's full name, email address, and a preferred username? Once we have these details, we will guide you step by step through the process, ensuring a smooth experience for both you and your father. If you have any questions or need further assistance, please don't hesitate to let me know.",ACCOUNT|||create_account,another premium acount for father,1,0.47249749302864075
BLQ,want assistance opening a platinum acount for my dad,ACCOUNT,create_account,"That's wonderful to hear that you would like to assist your dad in opening a {{Account Category}} account! Your support is truly commendable, and I am here to guide you through the process. To get started, could you please provide your dad's full name, email address, and a preferred username? Once I have these details, I will ensure a smooth and personalized experience for your dad, ensuring that he has access to all the exclusive benefits and features of our {{Account Category}} account. Rest assured that his security and privacy are of the utmost importance to us, and we will handle his personal information with the utmost care.",ACCOUNT|||create_account,want assistance opening a platinum acount for my dad,3,0.42686423659324646
